Season Start,Player Name,PTS,PER,TOV,WS,VORP
2007,Andrei Kirilenko,8.342857142857143,14.3,1.9285714285714288,4.4,3.1
2008,Andrei Kirilenko,11.0,17.2,1.9444444444444444,7.1,4.1
2009,Andrei Kirilenko,11.582089552238806,16.8,1.8059701492537317,4.6,2.0
2010,Andrei Kirilenko,11.862068965517242,18.2,1.362068965517241,6.0,2.8
2013,Andrei Kirilenko,12.359375,17.6,1.859375,6.0,3.2
2014,Andrei Kirilenko,5.022222222222222,12.4,1.2,1.3,0.4
2005,Andres Nocioni,8.358024691358025,10.1,1.6666666666666667,2.5,-0.1
2006,Andres Nocioni,12.96341463414634,16.1,1.4634146341463414,6.7,1.7
2007,Andres Nocioni,14.132075471698114,15.6,1.962264150943396,4.1,0.5
2008,Andres Nocioni,13.170731707317072,13.6,1.6219512195121952,3.3,-0.2
2009,Andres Nocioni,11.407894736842104,12.2,1.486842105263158,2.8,0.0
2009,Andres Nocioni,10.39622641509434,11.4,1.3773584905660377,1.9,-0.1
2009,Andres Nocioni,13.73913043478261,13.6,1.7391304347826086,0.9,0.1
2010,Andres Nocioni,8.466666666666667,11.1,0.8933333333333333,1.3,-0.5
2011,Andres Nocioni,6.055555555555555,10.1,0.8703703703703703,1.3,-0.2
2006,Andrew Bogut,9.365853658536585,15.2,1.524390243902439,5.5,2.3
2007,Andrew Bogut,12.257575757575758,15.5,2.272727272727273,4.0,1.4
2008,Andrew Bogut,14.346153846153848,17.5,2.2051282051282053,4.8,2.2
2010,Andrew Bogut,15.869565217391305,20.7,1.8985507246376807,7.5,3.0
2011,Andrew Bogut,12.76923076923077,16.7,1.9230769230769231,5.4,2.6
2012,Andrew Bogut,11.333333333333334,14.9,2.0,0.5,0.2
2013,Andrew Bogut,5.8125,13.8,1.09375,1.7,0.9
2016,Andrew Bogut,5.357142857142857,15.9,1.1857142857142855,5.4,2.4
2017,Andrew Bogut,2.925925925925926,9.3,1.5925925925925926,0.7,0.3
2017,Andrew Bogut,3.0384615384615383,9.4,1.6538461538461535,0.7,0.3
2007,Andrew Bynum,7.768292682926829,15.4,1.4024390243902438,4.2,0.7
2010,Andrew Bynum,15.03076923076923,20.2,1.7692307692307692,7.8,1.7
2012,Andrew Bynum,18.716666666666665,22.9,2.533333333333333,8.0,2.0
2017,Andrew Harrison,5.902777777777778,8.7,1.1805555555555556,1.6,-0.2
2014,Andrew Nicholson,5.723684210526316,9.9,0.6710526315789473,0.6,-1.4
2015,Andrew Nicholson,4.85,10.3,0.6,0.1,-0.5
2016,Andrew Nicholson,6.857142857142857,14.8,0.7321428571428571,1.6,-0.4
2017,Andrew Nicholson,2.631578947368421,5.9,0.4473684210526316,-0.1,-0.4
2017,Andrew Nicholson,2.5,6.3,0.3928571428571428,-0.1,-0.2
2017,Andrew Nicholson,3.0,5.0,0.6,-0.1,-0.2
2015,Andrew Wiggins,16.914634146341463,13.9,2.158536585365854,2.1,-0.2
2016,Andrew Wiggins,20.679012345679013,16.5,2.246913580246914,4.1,-0.1
2017,Andrew Wiggins,23.57317073170732,16.5,2.2804878048780486,4.2,-0.6
2005,Andris Biedrins,3.633333333333333,14.8,0.4,1.2,0.2
2009,Andris Biedrins,11.85483870967742,19.1,1.7741935483870968,5.4,2.1
2011,Andy Rautins,1.6,-1.2,1.4,-0.2,-0.1
2001,Anfernee Hardaway,9.75,16.6,0.75,0.4,0.1
2002,Anfernee Hardaway,11.9875,13.9,2.3625,2.9,1.2
2003,Anfernee Hardaway,10.60344827586207,13.0,2.5,2.3,0.9
2004,Anfernee Hardaway,9.197368421052632,11.8,1.4078947368421053,2.0,0.0
2004,Anfernee Hardaway,8.705882352941176,13.2,1.2352941176470589,1.3,0.1
2004,Anfernee Hardaway,9.595238095238097,10.8,1.5476190476190477,0.7,0.0
2005,Anfernee Hardaway,7.27027027027027,9.0,1.351351351351351,0.2,-0.3
2004,Ansu Sesay,3.508771929824561,13.0,0.4035087719298245,0.8,-0.1
2001,Antawn Jamison,24.92682926829268,19.0,2.426829268292683,6.7,1.7
2002,Antawn Jamison,19.74390243902439,17.1,1.9634146341463412,6.4,1.4
2004,Antawn Jamison,14.78048780487805,21.2,0.9878048780487804,9.0,2.1
2005,Antawn Jamison,19.61764705882353,16.9,1.7352941176470589,5.4,0.5
2006,Antawn Jamison,20.536585365853657,17.7,1.670731707317073,8.2,1.6
2007,Antawn Jamison,19.82857142857143,18.4,1.4857142857142858,6.8,1.9
2008,Antawn Jamison,21.37974683544304,20.3,1.4303797468354431,9.2,1.8
2009,Antawn Jamison,22.234567901234566,20.6,1.5432098765432098,8.1,2.1
2010,Antawn Jamison,18.71212121212121,17.3,1.378787878787879,5.8,0.9
2010,Antawn Jamison,20.48780487804878,17.5,1.4878048780487805,3.7,0.6
2010,Antawn Jamison,15.8,16.7,1.2,2.1,0.3
